,wokType,holeType,holeID,hexRow,hexCol,x,y,z,r,theta,ix,iy,iz,jx,jy,jz,kx,ky,kz
12,LCO,ApogeeBoss,R-13C6,-13.0,6.0,-11.387518236475,-256.40783211346,3.7621863927572,256.6605773014437,267.45706569686456,7.633306091974037e-06,-0.999571861383735,0.02925908186508863,0.9999991556954185,-3.039045588261866e-05,-0.0012991092604099047,0.0012994422584053627,0.02925906707801039,0.9995710172086532
13,APO,ApogeeBoss,R-13C6,-13.0,6.0,-11.3758629049724,-256.1453929279,3.5186498704332,256.39787942769925,267.4570656857824,7.633361260619643e-06,-0.9996246745437025,0.027395437304931658,0.999999259821595,-2.5700852371126637e-05,-0.0012164274447100973,0.0012166749746141754,0.027395426312850704,0.9996239344469215
14,LCO,ApogeeBoss,R-13C7,-13.0,7.0,11.3875134055728,-256.40784786146,3.7621865394422,256.6605928195985,272.5429330697918,5.449772557729994e-06,-0.9995718608460575,0.029259100721822924,0.9999991557093809,4.3467953849609306e-05,0.0012987267080202625,-0.0012994425055061455,0.029259068940873482,0.9995710171538028
15,APO,ApogeeBoss,R-13C7,-13.0,7.0,11.375858030534598,-256.14540844476,3.518657729879,256.3978947130101,272.54293307218285,5.452444435642013e-06,-0.999624674072512,0.027395455018943,0.9999992598355828,3.8781764841644696e-05,0.0012160691843524129,-0.0012166752061521808,0.02739542811125234,0.9996239343973532
16,LCO,ApogeeBoss,R-13C8,-13.0,8.0,34.162592186744,-256.40821741113996,3.8214642499187987,258.6740355367662,277.5891171399054,3.2662389386823534e-06,-0.9995714369513325,0.029273578878916396,0.9999923940730302,0.00011743847247656632,0.0038984617857250456,-0.003900228893444503,0.029273343492905612,0.9995638346675639
17,APO,ApogeeBoss,R-13C8,-13.0,8.0,34.12763802475,-256.14586751166,3.574102796408,258.40936732334075,277.5891171555556,3.2715035596690703e-06,-0.9996243017391357,0.027409037959085728,0.9999933321050322,0.00010336292097729936,0.003650350884674422,-0.003651812532420134,0.027408843256363533,0.9996176366874366
18,LCO,ApogeeBoss,R-13C9,-13.0,9.0,56.937816633409994,-256.40930559285994,3.9400309280503993,262.6549960644047,282.5198577793604,8.126879243057582e-06,-0.9995705022707283,0.02930547601042837,0.9999788268887464,0.000198824440588188,0.006504324949468931,-0.006507358001546632,0.029304802662461046,0.9995493398691001
19,APO,ApogeeBoss,R-13C9,-13.0,9.0,56.879592858316,-256.14710460595995,3.6850281023446,262.3864083403414,282.51985780760407,8.127462080636966e-06,-0.9996234816544518,0.027438929625194328,0.9999814380650172,0.00017530697066065606,0.006090385282283112,-0.006092902376123638,0.027438370806191187,0.9996049281331786
20,LCO,ApogeeBoss,R-13C10,-13.0,10.0,79.712415058468,-256.40750580473997,4.117773966645399,268.5123426352339,287.26951607186163,5.943675534101745e-06,-0.9995698108923496,0.029329049035128424,0.9999584352028409,0.0002733469082624439,0.009113349996221428,-0.00911744653719488,0.029327775812359,0.9995282656005989
21,APO,ApogeeBoss,R-13C10,-13.0,10.0,79.631036034536,-256.14573677024,3.8513561544986006,268.2382157066786,287.26951611114026,5.946801116037435e-06,-0.9996228760817907,0.027460982841196156,0.9999635611029722,0.00024037241841017338,0.008533386629163413,-0.008536769347819686,0.027459931446916996,0.9995864523561895
22,LCO,ApogeeBoss,R-13C11,-13.0,11.0,102.48171649843799,-256.39326065924,4.3543513383461985,276.11592914560947,291.7868463912265,3.7630183292370524e-06,-0.999571303056143,0.029278150427993792,0.9999315318321808,0.00034636759572145213,0.011696652394476904,-0.01170177907791295,0.029276101791959497,0.9995028655438055
23,APO,ApogeeBoss,R-13C11,-13.0,11.0,102.377608414554,-256.13279784768,4.0727449883774005,275.83543071542545,291.78684644006825,3.768492455214094e-06,-0.999624185538655,0.02741327546972636,0.9999399754660999,0.00030412110133813235,0.010952304561656794,-0.010956525482744608,0.027411588726966505,0.9995641847089208
24,LCO,ApogeeBoss,R-13C12,-13.0,12.0,125.247764658148,-256.37767132034,4.6500728873896,285.3357897346618,296.03682120631004,8.620862183177107e-06,-0.9995727062379088,0.029230204753026127,0.9998980608293637,0.00042597191053554006,0.014271877858553751,-0.014278230820335457,0.02922710201430396,0.9994708142974895
25,APO,ApogeeBoss,R-13C12,-13.0,12.0,125.121268049572,-256.11873667184,4.3493714764492,285.0476082915136,296.03682126265215,8.622171893782763e-06,-0.9996254106737308,0.027368563371745838,0.9999106304454459,0.0003745094033563004,0.013363789316565917,-0.013369033168068492,0.027366002230539876,0.9995360778251423
26,LCO,ApogeeBoss,R-13C13,-13.0,13.0,148.023123584352,-256.3828929609,5.0057852848026,296.04566019225587,300.00006558796036,6.438468124113325e-06,-0.9995695128063542,0.029339206305111536,0.9998565670699345,0.0005033384258185602,0.01692902647982938,-0.016936506300645304,0.02933488909978803,0.9994261448630566
27,APO,ApogeeBoss,R-13C13,-13.0,13.0,147.873240072588,-256.12465240804,4.681881866926201,295.7470755573156,299.99993340232226,5.367962886640011e-05,-0.9996225860371575,0.0274714870890433,0.9998742496413624,0.0004893005399467422,0.015850725191749557,-0.01585818472020681,0.027467181678643978,0.9994969094039321
