,fpX,fpY,fvcX,fvcY,rFP,rFVC,thetaFP,thetaFVC,fiducial
0,50.6087637,108.0238493,-421.3179726586456,-899.2206850108653,119.291235976628,993.0290400771777,64.89708800425976,244.8951813523703,False
1,140.8926755,17.3271202,-1172.541935397654,-144.14624474534224,141.95413028148758,1181.3690067630266,7.011086933418793,187.00848181725715,False
2,-200.5149115,47.1829728,1666.4797633102562,-392.02523285659686,205.99141403490188,1711.9692125499444,166.7586695536837,346.7623356404516,False
3,-32.2922383,-203.3387997,268.3993087613894,1690.0945487876486,205.8869984186974,1711.2737281876668,260.97621451350955,80.97636780493005,False
4,-62.987293,34.522699,524.6662281163086,-287.5313684346015,71.82768147248281,598.2883408187636,151.27329765299035,331.2760598266362,False
5,-323.3732937,29.6924578,2677.371972308716,-245.56767693801615,324.73362796081227,2688.6100799597175,174.75375533742854,354.75951231859983,False
6,297.2475283,23.9216767,-2463.5219263889994,-198.0391345868603,298.20855067653343,2471.4691542941173,4.601093246434168,184.5960454153428,False
7,-285.8780938,22.7311593,2370.2510233573385,-188.2679172313289,286.78038656408074,2377.7162829877607,175.45377863930236,355.45855805676246,False
8,254.3077407,-97.3630449,-2109.58617937636,807.7821928422316,272.30862911802456,2258.952394205941,339.050394835628,159.0476442479997,False
9,121.0873664,-164.9235208,-1006.4482419514404,1370.8399797043603,204.60185242259143,1700.6293875159856,306.2862321663431,126.285505112092,False
10,-33.3481636,-263.5048048,276.70857855602407,2186.503125683153,265.6066305049226,2203.9427297615275,262.78720926852696,82.78738779420935,False
11,231.0098629,188.0379833,-1914.516309413606,-1558.0418197732854,297.86547285747616,2468.373353278054,39.14498587187803,219.1388483956848,False
12,216.5169234,-170.3483577,-1795.9392857774258,1413.0755394148568,275.4961725499805,2285.2090491443705,321.8055013089518,141.80373024461997,False
13,190.4691713,-238.8057251,-1578.2465571262717,1978.8645661289213,305.4614207330371,2531.1592534175984,308.5755289420231,128.574166852548,False
14,145.7892543,246.8226483,-1208.704237064946,-2045.97944168687,286.66343747184703,2376.341265160387,59.43118232861337,239.42666032854947,False
15,-187.3387292,-205.4517156,1553.7969400388758,1704.107108962507,278.0399376011551,2306.136589556379,227.64024497639443,47.641586515593445,False
16,307.7066754,39.822689,-2549.066921356437,-329.64372973594914,310.2728551531888,2570.293204696268,7.374100606283003,187.36855970141454,False
17,215.2079232,193.9470192,-1784.0686480024738,-1607.48690098963,289.7065695917548,2401.4402090492736,42.025416756096234,222.0195794987902,False
18,-75.8716047,171.2766941,630.8282629585594,-1423.9039068442028,187.32913906164742,1557.3845489388602,113.89223218855925,293.89464879343006,False
19,126.3267863,193.4041664,-1049.1740703262233,-1606.0380118942874,231.0056893623288,1918.365013623385,56.84843040981958,236.84467892937477,False
20,5.6210601,-99.5223856,-46.8100974596948,828.7938141953888,99.68099895247289,830.114673808822,273.23265171448725,93.23261898308662,False
21,87.5122583,-191.3274552,-727.2798632435921,1590.080912414332,210.39151709627916,1748.511740739539,294.57912884325674,114.57866687980578,False
